City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hasaki,JP,64.8,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
1,Artyom,AZ,71.74,clear sky,40.4723,50.333,Pir hos
2,Vao,NC,73.49,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
3,Dikson,RU,30.87,overcast clouds,73.5069,80.5464,
4,Hermanus,ZA,61.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
5,Maridi,SS,66.15,clear sky,4.9158,29.4742,
6,Arraial Do Cabo,BR,68.72,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,Frasinet,RO,65.68,scattered clouds,44.3167,26.8,Balta Mostistea
9,Riviere-Au-Renard,CA,43.09,broken clouds,48.9957,-64.3971,Auberge Le Caribou
10,Codrington,AU,51.94,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
11,Berezovyy,RU,74.25,few clouds,51.6667,135.7,"Hotel ""Phoenix"""
12,Norman Wells,CA,48.24,overcast clouds,65.282,-126.8329,Heritage Hotel
13,Ponta Do Sol,PT,63.72,broken clouds,32.6667,-17.1,Hotel do Campo
14,San Quintin,MX,63.55,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
18,Zolotukhino,RU,53.67,clear sky,52.0842,36.3772,DonVillage
19,Pavilosta,LV,46.31,overcast clouds,56.8879,21.1859,"Hotel ""Vēju paradīze"""
20,Ancud,CL,49.84,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
21,Cape Town,ZA,65.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Albany,US,60.73,scattered clouds,42.6001,-73.9662,
24,Punta Arenas,CL,46.51,broken clouds,-53.15,-70.9167,Hotel Hain
25,Rikitea,PF,73.33,light rain,-23.1203,-134.9692,People ThankYou
26,Khatanga,RU,33.6,overcast clouds,71.9667,102.5,"""Khatanga"""
28,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
29,Kenora,CA,49.17,few clouds,49.8167,-94.4337,Maynard Lake Lodge
30,Bluff,NZ,55.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
32,Vila,PT,49.08,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
33,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
34,Trelew,AR,51.82,overcast clouds,-43.249,-65.3051,Hotel Touring Club
35,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Namibe,AO,72.64,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
37,Richards Bay,ZA,64.26,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
38,Leningradskiy,RU,35.87,broken clouds,69.3833,178.4167,Gostinitsa
39,Tasiilaq,GL,39.36,clear sky,65.6145,-37.6368,The Red House
40,Esperance,AU,55.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
41,Menongue,AO,44.94,scattered clouds,-14.6585,17.691,Ritz Lauca
42,Raudeberg,NO,42.87,few clouds,61.9875,5.1352,Nordre Silda.
43,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
44,Birin,NP,69.44,heavy intensity rain,26.8865,88.0718,Sangam hotel and lodge
45,Douglas,US,68.59,overcast clouds,41.3,-96.167,Hilton Garden Inn Omaha West
46,Ponta Delgada,PT,69.49,mist,37.7333,-25.6667,Vila Nova Hotel
47,Yurkivka,UA,53.47,few clouds,49.0126,31.1013,
48,Aosta,IT,51.91,scattered clouds,45.7667,7.4167,Club Esse Pila 2000
49,Port Elizabeth,ZA,50.29,clear sky,-33.918,25.5701,39 On Nile Guest House
50,Luis Correia,BR,75.92,overcast clouds,-2.8792,-41.6669,Hotel Amarração
51,Port Alfred,ZA,57.78,clear sky,-33.5906,26.891,The Halyards Hotel
53,Jamestown,US,62.24,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
54,Asau,RO,58.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
55,Marsh Harbour,BS,79.56,clear sky,26.5412,-77.0636,Abaco Beach Resort
56,Mao,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
57,Mogadishu,SO,78.51,overcast clouds,2.0371,45.3438,Hotel Juba
58,La Ronge,CA,53.85,clear sky,55.1001,-105.2842,Northland Motor Hotel
59,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
60,Cherskiy,RU,45.82,few clouds,68.75,161.3,Gostinitsa
62,Preston,GB,52.66,overcast clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
63,Ushuaia,AR,46.06,light intensity drizzle,-54.8,-68.3,Albatross Hotel
64,Nyurba,RU,71.98,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
65,Zhangye,CN,76.28,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
66,Dzhalka,RU,68.88,broken clouds,43.3186,45.9879,
67,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
68,Sagua De Tanamo,CU,76.12,overcast clouds,20.5819,-75.2414,
69,Itacarambi,BR,63.52,clear sky,-15.1022,-44.0919,POUSADA CAMALEÃO
70,Lillooet,CA,61.57,overcast clouds,50.6856,-121.942,Hotel Victoria
71,Guerrero Negro,MX,63.12,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
72,Beringovskiy,RU,50.18,overcast clouds,63.05,179.3167,
73,Surt,LY,74.01,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
74,Novyy Urgal,RU,71.74,clear sky,51.0736,132.5642,
75,Muros,ES,63.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
76,Busselton,AU,60.17,overcast clouds,-33.65,115.3333,Observatory Guest House
79,Mar Del Plata,AR,47.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,Yerbogachen,RU,55.71,broken clouds,61.2767,108.0108,
82,Ptuj,SI,63.73,drizzle,46.4201,15.8702,Grand Hotel Primus
83,Half Moon Bay,US,73.89,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
84,Yatou,CN,74.17,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
85,Carnarvon,AU,72.37,clear sky,-24.8667,113.6333,Hospitality Carnarvon
86,Yellowknife,CA,70.32,few clouds,62.456,-114.3525,The Explorer Hotel
87,Hobart,AU,48.06,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
88,Saint-Joseph,RE,68.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
89,Jishou,CN,76.64,overcast clouds,28.3167,109.7167,7 Days Inn
90,Bludenz,AT,57.96,scattered clouds,47.1497,9.8167,VAL BLU Resort Spa & Sports
92,Paamiut,GL,40.1,clear sky,61.994,-49.6678,Pistut
93,Luanda,AO,69.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
94,Nikolskoye,RU,53.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
95,Avarua,CK,78.85,clear sky,-21.2078,-159.775,Paradise Inn
96,Puerto Parra,CO,76.01,overcast clouds,6.6515,-74.0573,Casa Hotel Villa Johana
98,Albion,US,69.75,overcast clouds,42.2431,-84.753,Days Inn by Wyndham Albion
99,Katsuura,JP,64.42,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
100,Bonthe,SL,77.56,light rain,7.5264,-12.505,Bonthe Holiday Village
102,Athabasca,CA,63.01,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
104,Pisco,PE,64.45,mist,-13.7,-76.2167,Hotel San Isidro Oficial
105,Konevo,RU,51.64,overcast clouds,62.1215,39.3192,
110,Chokurdakh,RU,56.03,clear sky,70.6333,147.9167,
111,Pevek,RU,34.07,scattered clouds,69.7008,170.3133,Severnoye Zoloto
114,Bredasdorp,ZA,54.82,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
115,Kuzino,RU,53.08,overcast clouds,57.0224,59.4412,
117,Hofn,IS,51.67,overcast clouds,64.2539,-15.2082,Hótel Höfn
118,Portland,US,62.02,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
119,Aras,ES,52.23,clear sky,42.5617,-2.356,Jardines de Viana Spa
120,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Broome,US,59.7,scattered clouds,42.2506,-75.833,Chenango Valley State Park
123,Barcelos,PT,59.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
125,Kaitangata,NZ,55.8,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
126,Kurumkan,RU,65.16,scattered clouds,54.3,110.3,Ilikchin
127,Mataura,NZ,55.47,clear sky,-46.1927,168.8643,Ellie's Villa
128,Bubaque,GW,79.68,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
130,Anloga,GH,78.42,moderate rain,5.7947,0.8973,Pin Drop Hotel
132,Airai,TL,72.27,overcast clouds,-8.9266,125.4092,
134,Uruzgan,AF,74.46,clear sky,32.8333,66.0,
135,Yumen,CN,76.15,scattered clouds,40.2833,97.2,
136,New Norfolk,AU,47.7,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
138,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
139,Chililabombwe,ZM,49.35,few clouds,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
142,Sunagawa,JP,64.65,overcast clouds,43.4864,141.9056,静香荘
143,Horsham,GB,56.93,scattered clouds,51.064,-0.3272,Springfields Hotel
144,Zagreb,HR,67.48,few clouds,45.8131,15.9775,Esplanade Zagreb Hotel
145,Angoche,MZ,67.5,overcast clouds,-16.2325,39.9086,Guest House HESADA
