City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.7333,140.8333,64.8,87,100,21.05,light rain
1,Artyom,AZ,40.4723,50.333,71.74,77,1,9.53,clear sky
2,Vao,NC,-22.6667,167.4833,73.49,71,17,7.76,few clouds
3,Dikson,RU,73.5069,80.5464,30.87,91,100,12.84,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,61.99,47,10,7.54,clear sky
5,Maridi,SS,4.9158,29.4742,66.15,86,6,4.34,clear sky
6,Arraial Do Cabo,BR,-22.9661,-42.0278,68.72,68,2,17.63,clear sky
7,Victoria,HK,22.2855,114.1577,89.65,82,100,11.99,overcast clouds
8,Frasinet,RO,44.3167,26.8,65.68,89,31,12.82,scattered clouds
9,Riviere-Au-Renard,CA,48.9957,-64.3971,43.09,75,63,3.2,broken clouds
10,Codrington,AU,-38.2667,141.9667,51.94,70,68,16.98,broken clouds
11,Berezovyy,RU,51.6667,135.7,74.25,29,12,3.69,few clouds
12,Norman Wells,CA,65.282,-126.8329,48.24,61,100,6.91,overcast clouds
13,Ponta Do Sol,PT,32.6667,-17.1,63.72,75,51,0.96,broken clouds
14,San Quintin,MX,30.4833,-115.95,63.55,88,40,19.48,scattered clouds
15,Meulaboh,ID,4.1363,96.1285,83.19,71,98,2.01,overcast clouds
16,Upernavik,GL,72.7868,-56.1549,28.06,82,2,8.86,clear sky
17,Denpasar,ID,-8.65,115.2167,85.66,79,20,9.22,few clouds
18,Zolotukhino,RU,52.0842,36.3772,53.67,93,0,6.98,clear sky
19,Pavilosta,LV,56.8879,21.1859,46.31,79,100,5.59,overcast clouds
20,Ancud,CL,-41.8697,-73.8203,49.84,93,100,28.77,moderate rain
21,Cape Town,ZA,-33.9258,18.4232,65.12,50,4,4.12,clear sky
22,Salalah,OM,17.0151,54.0924,84.29,74,40,3.44,scattered clouds
23,Albany,US,42.6001,-73.9662,60.73,62,47,3.49,scattered clouds
24,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,23.02,broken clouds
25,Rikitea,PF,-23.1203,-134.9692,73.33,79,54,19.51,light rain
26,Khatanga,RU,71.9667,102.5,33.6,75,100,6.69,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,24.55,75,58,6.08,broken clouds
28,Inhambane,MZ,-23.865,35.3833,71.58,68,20,13.8,few clouds
29,Kenora,CA,49.8167,-94.4337,49.17,66,20,4.61,few clouds
30,Bluff,NZ,-46.6,168.3333,55.8,73,4,6.98,clear sky
31,Garmsar,IR,35.2182,52.3409,86.83,18,30,1.59,scattered clouds
32,Vila,PT,42.0304,-8.1588,49.08,92,100,3.58,overcast clouds
33,Atuona,PF,-9.8,-139.0333,78.46,73,9,15.55,clear sky
34,Trelew,AR,-43.249,-65.3051,51.82,58,97,16.31,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,100,5.01,overcast clouds
36,Namibe,AO,-15.1961,12.1522,72.64,43,39,4.07,scattered clouds
37,Richards Bay,ZA,-28.783,32.0377,64.26,81,100,3.96,light rain
38,Leningradskiy,RU,69.3833,178.4167,35.87,76,70,10.33,broken clouds
39,Tasiilaq,GL,65.6145,-37.6368,39.36,62,8,5.66,clear sky
40,Esperance,AU,-33.8667,121.9,55.24,64,100,7.0,overcast clouds
41,Menongue,AO,-14.6585,17.691,44.94,79,26,4.79,scattered clouds
42,Raudeberg,NO,61.9875,5.1352,42.87,92,13,11.23,few clouds
43,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,40,2.3,light rain
44,Birin,NP,26.8865,88.0718,69.44,74,89,3.29,heavy intensity rain
45,Douglas,US,41.3,-96.167,68.59,96,100,4.61,overcast clouds
46,Ponta Delgada,PT,37.7333,-25.6667,69.49,100,75,12.66,mist
47,Yurkivka,UA,49.0126,31.1013,53.47,95,15,7.96,few clouds
48,Aosta,IT,45.7667,7.4167,51.91,62,30,3.02,scattered clouds
49,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,4.61,clear sky
50,Luis Correia,BR,-2.8792,-41.6669,75.92,89,92,9.86,overcast clouds
51,Port Alfred,ZA,-33.5906,26.891,57.78,81,8,10.09,clear sky
52,Doha,QA,25.2867,51.5333,87.69,59,0,4.61,clear sky
53,Jamestown,US,42.097,-79.2353,62.24,42,100,3.44,overcast clouds
54,Asau,RO,46.4333,26.4,58.28,96,100,3.94,overcast clouds
55,Marsh Harbour,BS,26.5412,-77.0636,79.56,75,1,3.51,clear sky
56,Mao,ES,39.8885,4.2658,68.56,83,0,8.05,clear sky
57,Mogadishu,SO,2.0371,45.3438,78.51,82,99,17.29,overcast clouds
58,La Ronge,CA,55.1001,-105.2842,53.85,43,0,10.36,clear sky
59,Geraldton,AU,-28.7667,114.6,68.41,34,0,20.71,clear sky
60,Cherskiy,RU,68.75,161.3,45.82,48,17,17.87,few clouds
61,Hatillo,PR,18.4863,-66.8254,81.32,75,62,1.99,broken clouds
62,Preston,GB,53.7667,-2.7167,52.66,94,100,5.17,overcast clouds
63,Ushuaia,AR,-54.8,-68.3,46.06,66,75,20.71,light intensity drizzle
64,Nyurba,RU,63.2842,118.3319,71.98,61,100,1.28,overcast clouds
65,Zhangye,CN,38.9342,100.4517,76.28,19,28,7.05,scattered clouds
66,Dzhalka,RU,43.3186,45.9879,68.88,79,65,4.7,broken clouds
67,Mount Isa,AU,-20.7333,139.5,74.97,41,4,12.66,clear sky
68,Sagua De Tanamo,CU,20.5819,-75.2414,76.12,89,100,4.47,overcast clouds
69,Itacarambi,BR,-15.1022,-44.0919,63.52,58,5,3.09,clear sky
70,Lillooet,CA,50.6856,-121.942,61.57,68,87,5.93,overcast clouds
71,Guerrero Negro,MX,27.9769,-114.0611,63.12,85,20,20.15,few clouds
72,Beringovskiy,RU,63.05,179.3167,50.18,61,98,8.16,overcast clouds
73,Surt,LY,31.2089,16.5887,74.01,75,0,7.38,clear sky
74,Novyy Urgal,RU,51.0736,132.5642,71.74,39,3,1.12,clear sky
75,Muros,ES,42.7762,-9.0603,63.09,87,100,10.69,overcast clouds
76,Busselton,AU,-33.65,115.3333,60.17,55,100,10.11,overcast clouds
77,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,20.71,broken clouds
78,Lorengau,PG,-2.0226,147.2712,85.35,60,30,7.76,scattered clouds
79,Mar Del Plata,AR,-38.0023,-57.5575,47.08,89,0,4.61,clear sky
80,Yerbogachen,RU,61.2767,108.0108,55.71,61,78,4.63,broken clouds
81,Auki,SB,-8.7676,160.7034,83.66,71,95,6.8,overcast clouds
82,Ptuj,SI,46.4201,15.8702,63.73,94,100,4.61,drizzle
83,Half Moon Bay,US,37.4636,-122.4286,73.89,89,100,14.97,mist
84,Yatou,CN,37.15,122.3833,74.17,64,20,10.92,few clouds
85,Carnarvon,AU,-24.8667,113.6333,72.37,47,0,4.36,clear sky
86,Yellowknife,CA,62.456,-114.3525,70.32,28,20,12.66,few clouds
