City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2022-02-11 02:21:05,22.8909,-109.9124,70.52,70,20,4.61
1,Fethiye,TR,2022-02-11 02:24:46,36.6217,29.1164,37.27,45,0,6.2
2,Muisne,EC,2022-02-11 02:24:46,0.6,-80.0333,76.03,83,100,5.26
3,Fairbanks,US,2022-02-11 02:20:01,64.8378,-147.7164,-6.18,76,20,3.44
4,Berdigestyakh,RU,2022-02-11 02:24:47,62.0989,126.6992,-20.85,95,56,3.38
5,Barrow,US,2022-02-11 02:24:47,71.2906,-156.7887,-16.58,69,100,9.22
6,Buenaventura,CO,2022-02-11 02:24:12,3.8801,-77.0312,74.44,96,100,3.09
7,Atuona,PF,2022-02-11 02:24:47,-9.8,-139.0333,78.64,71,13,17.13
8,Punta Arenas,CL,2022-02-11 02:23:21,-53.15,-70.9167,44.71,57,75,5.75
9,Ouallam,NE,2022-02-11 02:24:48,14.3188,2.0866,70.03,11,0,10.74
10,Ushuaia,AR,2022-02-11 02:24:38,-54.8,-68.3,44.26,81,40,23.02
11,Bluff,NZ,2022-02-11 02:22:24,-46.6,168.3333,63.81,75,29,11.61
12,Kruisfontein,ZA,2022-02-11 02:24:48,-34.0033,24.7314,60.44,90,0,3.13
13,Mar Del Plata,AR,2022-02-11 02:24:49,-38.0023,-57.5575,70.88,91,0,20.0
14,Kieta,PG,2022-02-11 02:24:49,-6.2167,155.6333,84.24,76,94,6.58
15,Bethel,US,2022-02-11 02:24:49,41.3712,-73.414,44.96,59,0,6.91
16,Muros,ES,2022-02-11 02:24:49,42.7762,-9.0603,52.3,90,40,8.81
17,Bambous Virieux,MU,2022-02-11 02:24:50,-20.3428,57.7575,75.45,94,40,2.3
18,Balgazyn,RU,2022-02-11 02:24:50,51.0,95.2,-21.01,97,80,1.23
19,Pevek,RU,2022-02-11 02:24:50,69.7008,170.3133,-28.17,97,100,8.61
20,Flin Flon,CA,2022-02-11 02:24:51,54.7682,-101.865,-5.84,90,100,12.24
21,East London,ZA,2022-02-11 02:24:51,-33.0153,27.9116,69.76,83,45,3.62
22,Saldanha,ZA,2022-02-11 02:24:51,-33.0117,17.9442,57.25,86,0,10.92
23,Beloha,MG,2022-02-11 02:24:52,-25.1667,45.05,73.09,90,69,9.24
24,Vostok,RU,2022-02-11 02:24:52,46.4856,135.8833,20.43,85,100,0.6
25,Pisco,PE,2022-02-11 02:24:48,-13.7,-76.2167,71.65,73,0,9.22
26,Rikitea,PF,2022-02-11 02:24:52,-23.1203,-134.9692,79.34,72,25,14.14
27,Airai,TL,2022-02-11 02:24:53,-8.9266,125.4092,69.8,76,100,1.74
28,Lebu,CL,2022-02-11 02:24:53,-37.6167,-73.65,57.25,73,0,24.05
29,Flinders,AU,2022-02-11 02:24:53,-34.5833,150.8552,72.68,84,100,13.33
30,Tamandare,BR,2022-02-11 02:24:54,-8.7597,-35.1047,79.14,73,100,8.03
31,Ancud,CL,2022-02-11 02:24:54,-41.8697,-73.8203,51.42,69,8,10.94
32,Thompson,CA,2022-02-11 02:24:54,55.7435,-97.8558,-18.24,69,0,11.5
33,Karaman,TR,2022-02-11 02:21:25,37.0833,33.25,10.0,97,78,6.35
34,Thunder Bay,CA,2022-02-11 02:24:55,48.4001,-89.3168,24.57,89,100,13.8
35,Launceston,AU,2022-02-11 02:24:55,-41.45,147.1667,76.6,35,40,9.22
36,Qaanaaq,GL,2022-02-11 02:23:38,77.484,-69.3632,-21.87,62,94,5.06
37,Madang,PG,2022-02-11 02:24:56,-5.2246,145.7966,85.42,68,98,2.3
38,Ponta Delgada,PT,2022-02-11 02:24:56,37.7333,-25.6667,59.5,67,40,6.91
39,Arlit,NE,2022-02-11 02:24:56,18.7369,7.3853,62.17,22,1,8.75
40,Konstantinovka,RU,2022-02-11 02:24:56,49.6167,127.9833,2.66,93,100,6.93
41,Port-Gentil,GA,2022-02-11 02:24:57,-0.7193,8.7815,80.74,80,100,8.81
42,Litovko,RU,2022-02-11 02:24:57,49.2361,135.1742,6.96,91,100,4.18
43,Narsaq,GL,2022-02-11 02:24:57,60.9167,-46.05,17.82,60,88,8.77
44,Pacific Grove,US,2022-02-11 02:24:58,36.6177,-121.9166,70.02,57,0,6.91
45,Saskylakh,RU,2022-02-11 02:25:58,71.9167,114.0833,2.3,94,93,11.21
46,Yellowknife,CA,2022-02-11 02:21:22,62.456,-114.3525,-17.45,69,100,8.05
47,Honiara,SB,2022-02-11 02:25:59,-9.4333,159.95,83.95,75,92,8.23
48,Petropavlovsk-Kamchatskiy,RU,2022-02-11 02:23:42,53.0452,158.6483,19.99,58,0,4.47
49,Xiongzhou,CN,2022-02-11 02:25:59,25.1167,114.3,50.09,94,100,2.53
50,Kolosovka,RU,2022-02-11 02:25:59,56.4678,73.611,-17.12,100,44,6.35
51,Kahului,US,2022-02-11 02:26:00,20.8947,-156.47,82.42,68,20,16.11
52,Bilma,NE,2022-02-11 02:23:33,18.6853,12.9164,58.84,24,0,7.83
53,Belyy Yar,RU,2022-02-11 02:26:00,53.6039,91.3903,-26.14,71,83,0.0
54,Ilulissat,GL,2022-02-11 02:26:00,69.2167,-51.1,-0.38,60,100,4.61
55,Ribeira Grande,PT,2022-02-11 02:26:01,38.5167,-28.7,59.97,70,100,10.09
56,Kapaa,US,2022-02-11 02:26:01,22.0752,-159.319,80.58,65,75,4.61
57,Tuktoyaktuk,CA,2022-02-11 02:23:34,69.4541,-133.0374,-18.4,76,100,20.71
58,Butaritari,KI,2022-02-11 02:26:01,3.0707,172.7902,82.11,79,18,18.25
59,Iquique,CL,2022-02-11 02:25:15,-20.2208,-70.1431,69.84,71,6,1.83
60,Los Llanos De Aridane,ES,2022-02-11 02:26:02,28.6585,-17.9182,66.13,29,0,8.99
61,Dhidhdhoo,MV,2022-02-11 02:26:02,6.8833,73.1,80.78,76,59,9.33
62,Mataura,NZ,2022-02-11 02:26:03,-46.1927,168.8643,63.48,54,51,5.68
63,Prince Rupert,CA,2022-02-11 02:24:38,54.3161,-130.3201,38.89,86,0,5.75
64,Matay,EG,2022-02-11 02:26:03,28.419,30.7792,54.14,52,99,6.51
